\u0f0d,|,1
\u0f0b, ,1
\u0f40,k,1
\u0f41,kh,1
\u0f42,g,1
\u0f43,gh,1
\u0f44,ng,1
\u0f45,c,1
\u0f46,ch,1
\u0f47,j,1
\u0f49,ny,1
\u0f4a,T,1
\u0f4b,TH,1
\u0f4c,D,1
\u0f4d,DH,1
\u0f4e,N,1
\u0f4f,t,1
\u0f50,th,1
\u0f51,d,1
\u0f52,dh,1
\u0f53,n,1
\u0f54,p,1
\u0f55,ph,1
\u0f56,b,1
\u0f57,bh,1
\u0f58,m,1
\u0f59,ts,1
\u0f5a,tsh,1
\u0f5b,dz,1
\u0f5c,dzh,1
\u0f5d,w,1
\u0f5e,zh,1
\u0f5f,z,1
\u0f60,',1
\u0f61,y,1
\u0f62,r,2
\u0f63,l,1
\u0f64,sh,1
\u0f65,SH,1
\u0f66,s,1
\u0f67,h,1
\u0f68,a,1
\u0f69,kSH,1
\u0f6a,r,1
\u0f71,',4
\u0f72,i,5
\u0f73,I,5
\u0f74,u,5
\u0f75,U,5
\u0f76,r,5
\u0f77,rr,5
\u0f78,I,5
\u0f79,ll,5
\u0f7a,e,5
\u0f7b,ai,5
\u0f7c,o,5
\u0f7d,au,5
\u0f6b,K,1
\u0f6c,R,1
\u0f90,k,3
\u0f91,kh,3
\u0f92,g,3
\u0f93,gh,3
\u0f94,ng,3
\u0f95,c,3
\u0f96,ch,3
\u0f97,j,3
\u0f99,ny,3
\u0f9a,T,3
\u0f9b,TH,3
\u0f9c,D,3
\u0f9d,DH,3
\u0f9e,N,3
\u0f9f,t,3
\u0fa0,th,3
\u0fa1,d,3
\u0fa2,dh,3
\u0fa3,n,3
\u0fa4,p,3
\u0fa5,ph,3
\u0fa6,b,3
\u0fa7,bh,3
\u0fa8,m,3
\u0fa9,ts,3
\u0faa,tsh,3
\u0fab,dz,3
\u0fac,dzh,3
\u0fad,w,4
\u0fae,zh,3
\u0faf,z,3
\u0fb0,',4
\u0fb1,y,4
\u0fb2,r,4
\u0fb3,l,3
\u0fb4,sh,4
\u0fb5,ss,3
\u0fb6,s,3
\u0fb7,h,3
\u0fb8,a,3
\u0fb9,kss,3
\u0fba,w,3
\u0fbb,y,3
\u0fbc,r,3
\u0f20,0,1
\u0f21,1,1
\u0f22,2,1
\u0f23,3,1
\u0f24,4,1
\u0f25,5,1
\u0f26,6,1
\u0f27,7,1
\u0f28,8,1
\u0f29,9,1
\u0fb2,r,3
\u0fb1,y,3
